Count,pitch_type,pitch_type
0 - 0,CH,70
0 - 0,CU,98
0 - 0,FF,188
0 - 0,SI,114
0 - 0,SL,118
0 - 1,CH,54
0 - 1,CU,35
0 - 1,FF,85
0 - 1,SI,60
0 - 1,SL,57
0 - 2,CH,10
0 - 2,CU,14
0 - 2,FF,39
0 - 2,SI,16
0 - 2,SL,53
1 - 0,CH,29
1 - 0,CU,21
1 - 0,FF,71
1 - 0,SI,63
1 - 0,SL,40
1 - 1,CH,43
1 - 1,CU,30
1 - 1,FF,70
1 - 1,SI,42
1 - 1,SL,49
1 - 2,CH,24
1 - 2,CU,35
1 - 2,FF,62
1 - 2,SI,47
1 - 2,SL,65
2 - 0,CH,4
2 - 0,CU,1
2 - 0,FF,23
2 - 0,SI,32
2 - 0,SL,6
2 - 1,CH,18
2 - 1,CU,8
2 - 1,FF,25
2 - 1,SI,24
2 - 1,SL,29
2 - 2,CH,22
2 - 2,CU,33
2 - 2,FF,45
2 - 2,SI,35
2 - 2,SL,77
3 - 0,FF,12
3 - 0,SI,1
3 - 1,CH,1
3 - 1,FF,9
3 - 1,SI,24
3 - 1,SL,1
3 - 2,CH,8
3 - 2,CU,6
3 - 2,FF,28
3 - 2,SI,28
3 - 2,SL,34
