player_name,Month,release_spin_rate
"Abad, Fernando",8,2160.4375
"Abad, Fernando",9,2178.769230769231
"Abreu, Bryan",7,2726.5882352941176
"Abreu, Bryan",9,2581.6511627906975
"Adam, Jason",8,2484.1071428571427
"Adam, Jason",9,2475.3815028901736
"Adams, Austin",4,2660.3333333333335
"Adams, Austin",5,2557.6354166666665
"Adams, Austin",6,2545.009259259259
"Adams, Austin",7,2440.2837837837837
"Adams, Austin",9,2810.2702702702704
"Adams, Chance",5,2553.891666666667
"Adams, Chance",6,2571.425
"Adams, Chance",8,2503.4046242774566
"Adams, Chance",9,2634.010101010101
"Adrianza, Ehire",7,1772.0
"Agrazal, Dario",6,2221.006329113924
"Agrazal, Dario",7,2193.5148514851485
"Agrazal, Dario",8,2162.6211604095565
"Agrazal, Dario",9,2156.890784982935
"Alaniz, R.J.",4,2276.4578313253014
"Alaniz, R.J.",8,2141.2235294117645
"Alaniz, R.J.",9,2170.430107526882
"Albers, Matt",4,2109.3783783783783
"Albers, Matt",5,2101.9466666666667
"Albers, Matt",6,2095.5269461077846
"Albers, Matt",7,2078.8
"Albers, Matt",8,2081.4840425531916
"Albers, Matt",9,2140.978494623656
"Alberto, Hanser",4,1452.6
"Alcala, Jorge",9,2342.310344827586
"Alcantara, Sandy",4,2251.7225950783
"Alcantara, Sandy",5,2233.5140997830804
"Alcantara, Sandy",6,2285.7204301075267
"Alcantara, Sandy",7,2369.6142557651992
"Alcantara, Sandy",8,2435.1917525773197
"Alcantara, Sandy",9,2473.978835978836
"Alcántara, Victor",4,2017.3093922651933
"Alcántara, Victor",5,2021.9036697247707
"Alcántara, Victor",6,2051.0699300699303
"Alcántara, Victor",7,1907.7384615384615
"Alcántara, Victor",9,2067.5344827586205
"Alexander, Scott",4,2281.0522388059703
"Alexander, Scott",5,2232.02
"Alexander, Scott",6,2219.3333333333335
"Alexander, Tyler",7,2225.619607843137
"Alexander, Tyler",8,2232.427561837456
"Alexander, Tyler",9,2216.038348082596
"Allard, Kolby",8,2034.4494845360825
"Allard, Kolby",9,2052.090909090909
"Allen, Cody",4,2514.703296703297
"Allen, Cody",5,2477.222222222222
"Allen, Cody",6,2484.7589285714284
"Allen, Logan",6,1945.345238095238
"Allen, Logan",7,1951.382882882883
"Allen, Logan",8,1862.945945945946
"Almonte, Yency",4,2265.227848101266
"Almonte, Yency",5,2202.0
"Almonte, Yency",7,2271.25
"Almonte, Yency",8,2215.8223684210525
"Almonte, Yency",9,2259.7441860465115
"Altavilla, Dan",5,2420.7419354838707
"Altavilla, Dan",6,2466.9166666666665
"Altavilla, Dan",7,2426.6129032258063
"Altavilla, Dan",9,2666.301369863014
"Altherr, Aaron",4,2255.5789473684213
"Alvarado, José",4,2275.3050847457625
"Alvarado, José",5,2317.5988023952095
"Alvarado, José",6,2224.342857142857
"Alvarado, José",7,2161.6271186440677
"Alvarado, José",8,2171.663551401869
"Alzolay, Adbert",6,2365.4225352112676
"Alzolay, Adbert",7,2466.375
"Alzolay, Adbert",9,2677.0833333333335
"Anderson, Brett",4,1950.310945273632
"Anderson, Brett",5,1931.240506329114
"Anderson, Brett",6,1949.0405405405406
"Anderson, Brett",7,1956.9411764705883
"Anderson, Brett",8,1927.892773892774
"Anderson, Brett",9,1927.2169491525424
