,player_name,MaySpin,AugustSpin,%Difference
0,"Abreu, Albert",2169.7294117647057,2111.4454545454546,-2.69
1,"Abreu, Bryan",2467.0552763819096,2408.864864864865,-2.36
2,"Adams, Austin",2866.6864864864865,2730.6768292682927,-4.74
3,"Akin, Keegan",2278.285198555957,2237.3021276595746,-1.7999999999999998
4,"Alcala, Jorge",2354.6408450704225,2378.372340425532,1.01
5,"Alcantara, Sandy",2250.2802690582957,2162.964527027027,-3.88
6,"Alexander, Tyler",2218.2936507936506,2034.7201166180757,-8.28
7,"Allard, Kolby",2209.1771653543306,1962.8363228699552,-11.15
8,"Almonte, Yency",2240.7297297297296,2185.378787878788,-2.4699999999999998
9,"Alvarado, José",2120.221153846154,2114.496240601504,-0.27
10,"Alzolay, Adbert",2414.3317647058825,2240.2579185520362,-7.21
11,"Anderson, Brett",1835.1648745519713,1706.638418079096,-7.000000000000001
12,"Anderson, Chase",2153.302931596091,2107.090909090909,-2.15
13,"Anderson, Ian",1876.6474358974358,1861.0697674418604,-0.83
14,"Anderson, Shaun",2678.076923076923,2615.2,-2.35
15,"Anderson, Tyler",2338.200845665962,2142.893095768374,-8.35
16,"Andriese, Matt",2337.935483870968,2327.5,-0.44999999999999996
17,"Antone, Tejay",2883.5656565656564,2668.8,-7.449999999999999
18,"Armstrong, Shawn",2696.9342723004693,2366.5030674846626,-12.25
19,"Arrieta, Jake",2257.711764705882,2152.9563106796118,-4.64
20,"Astudillo, Willians",1175.1,1459.8235294117646,24.23
21,"Bard, Daniel",2744.261061946903,2735.885542168675,-0.31
22,"Barlow, Scott",2375.0745614035086,2428.696335078534,2.26
23,"Barnes, Matt",2277.042857142857,2106.5066666666667,-7.489999999999999
24,"Barría, Jaime",2128.4651162790697,2180.977707006369,2.4699999999999998
25,"Bass, Anthony",2109.931818181818,2069.5344827586205,-1.91
26,"Bassitt, Chris",2188.835095137421,2146.7676767676767,-1.92
27,"Bednar, David",2108.475903614458,2289.6928104575163,8.59
28,"Bender, Anthony",2571.0536912751677,2310.073684210526,-10.15
29,"Benjamin, Wes",2338.209523809524,2100.181818181818,-10.18
30,"Berríos, José",2220.3777403035415,2127.839552238806,-4.17
31,"Bickford, Phil",2318.5555555555557,2299.7976878612717,-0.8099999999999999
32,"Bielak, Brandon",2422.5481927710844,2307.285714285714,-4.760000000000001
33,"Bleier, Richard",2007.6021505376343,1952.862745098039,-2.73
34,"Borucki, Ryan",2483.811320754717,2233.7419354838707,-10.07
35,"Bowden, Ben",2309.609756097561,2268.474683544304,-1.78
36,"Boxberger, Brad",2152.753846153846,2219.24,3.09
37,"Boyd, Matthew",2243.274406332454,2179.3098591549297,-2.85
38,"Brach, Brad",2131.6117647058823,2162.5405405405404,1.4500000000000002
39,"Bradley, Archie",2006.1351351351352,1963.8481012658228,-2.11
40,"Brentz, Jake",2196.7911646586344,2195.2820512820513,-0.06999999999999999
41,"Brogdon, Connor",2143.1055555555554,2135.1392405063293,-0.37
42,"Brothers, Rex",2126.1164383561645,2043.1089743589744,-3.9
43,"Brubaker, JT",2413.4849884526557,2384.6482558139537,-1.1900000000000002
44,"Bubic, Kris",1979.9133333333334,2100.0,6.069999999999999
45,"Buchter, Ryan",2302.9375,2085.777777777778,-9.43
46,"Buehler, Walker",2710.516736401674,2391.2375601926165,-11.78
47,"Bukauskas, J.B.",2271.053191489362,2262.714285714286,-0.37
48,"Bumgarner, Madison",2532.306818181818,2096.873920552677,-17.2
49,"Bummer, Aaron",2081.171568627451,2205.5730994152045,5.9799999999999995
50,"Bundy, Dylan",2433.6833773087073,2340.823529411765,-3.82
51,"Burnes, Corbin",2751.106145251397,2674.9627329192544,-2.77
52,"Burr, Ryan",2354.133333333333,2186.0188679245284,-7.140000000000001
53,"Cabrera, Génesis",2234.0557620817845,2222.2101910828023,-0.53
54,"Campbell, Paul",2583.7,2356.9478260869564,-8.780000000000001
55,"Castillo, Diego",2175.0699300699303,2120.2384615384617,-2.52
56,"Castillo, Luis",2213.7604562737642,2179.6546391752577,-1.54
57,"Castro, Miguel",2499.1487603305786,2494.646511627907,-0.18
58,"Cease, Dylan",2674.0144628099174,2680.968438538206,0.26
59,"Cessa, Luis",2356.126984126984,2261.5352112676055,-4.01
60,"Chacín, Jhoulys",2253.7739130434784,2378.0733944954127,5.52
61,"Chafin, Andrew",2190.6666666666665,2180.7485714285713,-0.44999999999999996
62,"Chapman, Aroldis",2322.487804878049,2126.3931623931626,-8.44
63,"Chargois, JT",2321.8555555555554,2187.8930481283423,-5.7700000000000005
64,"Chatwood, Tyler",2557.689655172414,2415.8372093023254,-5.55
65,"Cimber, Adam",2243.1173708920187,2278.6288659793813,1.58
66,"Cishek, Steve",2373.114695340502,2324.478723404255,-2.0500000000000003
67,"Cisnero, José",2408.138248847926,2355.63,-2.18
68,"Clarke, Taylor",2209.69,2091.48087431694,-5.35
69,"Clase, Emmanuel",2571.272277227723,2564.0272108843537,-0.27999999999999997
70,"Clay, Sam",2083.923076923077,1992.514563106796,-4.390000000000001
71,"Cleavinger, Garrett",2536.8020833333335,2313.5,-8.799999999999999
72,"Cole, Gerrit",2513.6201232032854,2372.9347079037802,-5.6000000000000005
73,"Colomé, Alex",2175.5616438356165,2105.645933014354,-3.2099999999999995
74,"Coonrod, Sam",2319.561797752809,2072.126984126984,-10.67
75,"Corbin, Patrick",2148.6161048689137,2141.8602794411177,-0.31
76,"Cortes, Nestor",2188.9692307692308,2226.805615550756,1.73
77,"Crichton, Stefan",2039.7157894736843,2177.6666666666665,6.76
78,"Crismatt, Nabil",1989.3917050691243,1804.513698630137,-9.29
79,"Crochet, Garrett",2316.804347826087,2301.5045454545457,-0.66
80,"Crowe, Wil",2422.9717647058824,2301.6071428571427,-5.01
81,"Cueto, Johnny",2069.019656019656,1976.640579710145,-4.46
82,"Curtiss, John",2439.2864864864864,2429.907894736842,-0.38
83,"Darvish, Yu",2745.0797266514805,2631.7583643122675,-4.130000000000001
84,"Davies, Zach",1956.619153674833,1934.7584033613446,-1.1199999999999999
85,"Davis, Wade",2501.6567164179105,2422.2848484848487,-3.17
86,"De Los Santos, Enyel",2117.9555555555557,2108.605442176871,-0.44
87,"DeSclafani, Anthony",2153.384928716904,2092.439114391144,-2.83
88,"Detwiler, Ross",2078.27374301676,2087.967741935484,0.47000000000000003
89,"Diaz, Miguel",2000.590717299578,1963.7225130890051,-1.8399999999999999
90,"Diekman, Jake",2384.6146341463414,2380.6726190476193,-0.16999999999999998
91,"Difo, Wilmer",2094.725,1776.842105263158,-15.18
92,"Dolis, Rafael",2189.362831858407,2239.5304347826086,2.29
93,"Doolittle, Sean",2300.4451219512193,2144.061403508772,-6.800000000000001
94,"Doval, Camilo",2524.591836734694,2574.217391304348,1.97
95,"Duffey, Tyler",2411.779487179487,2343.117283950617,-2.85
96,"Dugger, Robert",2165.617283950617,2089.5064935064934,-3.51
97,"Dunning, Dane",2035.6710182767624,1979.2640692640693,-2.77
98,"Díaz, Edwin",2349.685082872928,2200.3008849557523,-6.36
99,"Díaz, Yennsy",1902.5882352941176,1857.5384615384614,-2.37
100,"Eovaldi, Nathan",2132.580573951435,2020.7565789473683,-5.24
101,"Espino, Paolo",2530.603773584906,2461.2225609756097,-2.74
102,"Estévez, Carlos",2089.3055555555557,2174.5555555555557,4.08
103,"Evans, Demarcus",2499.883116883117,2423.69801980198,-3.05
104,"Fairbanks, Pete",2382.4930555555557,2449.785714285714,2.82
105,"Familia, Jeurys",2279.5464480874316,2216.700507614213,-2.76
106,"Farmer, Buck",2393.1935483870966,2190.9277108433735,-8.450000000000001
107,"Fedde, Erick",1944.6115384615384,1991.5309734513273,2.41
108,"Fernández, Junior",2031.8936170212767,2146.7837837837837,5.65
109,"Feyereisen, J.P.",2462.766169154229,2439.8947368421054,-0.9299999999999999
110,"Finnegan, Kyle",2029.8401639344263,2012.3658536585365,-0.86
111,"Flaherty, Jack",2326.6877133105804,2227.283105022831,-4.2700000000000005
112,"Fleming, Josh",1774.3724137931035,1765.7147239263804,-0.49
113,"Flexen, Chris",2106.6071428571427,2151.6375838926174,2.1399999999999997
114,"Floro, Dylan",2026.345238095238,2061.041420118343,1.71
115,"Foltynewicz, Mike",2206.1732142857145,2117.871657754011,-4.0
116,"Foster, Matt",2184.2063492063494,2267.15625,3.8
