,team_name,variable,value
0,ARI,MaySpin,2302.011153298529
30,ARI,AugustSpin,2141.5752886836026
1,ATL,MaySpin,2303.4012738853503
31,ATL,AugustSpin,2245.9875759978854
2,BAL,MaySpin,2299.747496423462
32,BAL,AugustSpin,2210.5148677124794
3,BOS,MaySpin,2301.430530861062
33,BOS,AugustSpin,2150.3180058083253
4,CHC,MaySpin,2274.0757089352596
34,CHC,AugustSpin,2184.8025761704234
35,CIN,AugustSpin,2264.9049627791564
5,CIN,MaySpin,2388.07484307098
36,CLE,AugustSpin,2140.9435688866292
6,CLE,MaySpin,2310.9478683966636
37,COL,AugustSpin,2274.996584340515
7,COL,MaySpin,2323.445920807866
8,CWS,MaySpin,2265.8556346673213
38,CWS,AugustSpin,2282.6897665176352
39,DET,AugustSpin,2104.0964777947934
9,DET,MaySpin,2236.1636948984647
10,HOU,MaySpin,2307.044884169884
40,HOU,AugustSpin,2303.5286082474227
11,KC,MaySpin,2301.3587006960556
41,KC,AugustSpin,2271.432445178024
12,LAA,MaySpin,2228.147189021691
42,LAA,AugustSpin,2164.28468958694
43,LAD,AugustSpin,2302.7313315926895
13,LAD,MaySpin,2596.9458051068264
44,MIA,AugustSpin,2158.0126262626263
14,MIA,MaySpin,2236.4242744063326
45,MIL,AugustSpin,2233.650562066491
15,MIL,MaySpin,2292.7185759263743
16,MIN,MaySpin,2182.091657142857
46,MIN,AugustSpin,2172.144422310757
47,NYM,AugustSpin,2214.9738002594036
17,NYM,MaySpin,2284.992383638928
48,NYY,AugustSpin,2282.6146811665844
18,NYY,MaySpin,2367.579373368146
49,OAK,AugustSpin,2069.664243403339
19,OAK,MaySpin,2148.856470004958
50,PHI,AugustSpin,2144.070520508515
20,PHI,MaySpin,2127.5147271849346
51,PIT,AugustSpin,2182.5668653158523
21,PIT,MaySpin,2367.5223880597014
52,SD,AugustSpin,2375.372563718141
22,SD,MaySpin,2368.2374638379943
53,SEA,AugustSpin,2175.7489008304838
23,SEA,MaySpin,2243.7313875834775
24,SF,MaySpin,2158.7916454406522
54,SF,AugustSpin,2064.737953303527
55,STL,AugustSpin,2204.2342164599772
25,STL,MaySpin,2282.3586142322097
56,TB,AugustSpin,2232.606929212363
26,TB,MaySpin,2318.143929588403
57,TEX,AugustSpin,2173.721188692921
27,TEX,MaySpin,2195.448818897638
58,TOR,AugustSpin,2198.0457209847596
28,TOR,MaySpin,2247.0584134615383
29,WSH,MaySpin,2237.144
59,WSH,AugustSpin,2147.154496541122
